"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"27.05.2025","1,1337","1,1388","1,1408","1,1323","","-0,45%"
"26.05.2025","1,1388","1,1366","1,1419","1,1360","","0,11%"
"25.05.2025","1,1375","1,1366","1,1382","1,1363","","0,09%"
"23.05.2025","1,1365","1,1281","1,1376","1,1279","","0,74%"
"22.05.2025","1,1281","1,1332","1,1346","1,1255","","-0,44%"
"21.05.2025","1,1331","1,1283","1,1363","1,1280","","0,43%"
"20.05.2025","1,1283","1,1238","1,1287","1,1218","","0,35%"
"19.05.2025","1,1244","1,1170","1,1289","1,1170","","0,72%"
"16.05.2025","1,1164","1,1189","1,1220","1,1130","","-0,22%"
"15.05.2025","1,1189","1,1177","1,1229","1,1170","","0,13%"
"14.05.2025","1,1175","1,1185","1,1266","1,1165","","-0,10%"
"13.05.2025","1,1186","1,1086","1,1195","1,1084","","0,88%"
"12.05.2025","1,1088","1,1219","1,1244","1,1065","","-1,42%"
"09.05.2025","1,1248","1,1228","1,1293","1,1196","","0,18%"
"08.05.2025","1,1228","1,1301","1,1337","1,1212","","-0,64%"
"07.05.2025","1,1300","1,1370","1,1379","1,1292","","-0,62%"
"06.05.2025","1,1370","1,1315","1,1382","1,1280","","0,49%"
"05.05.2025","1,1315","1,1319","1,1365","1,1292","","0,17%"
"02.05.2025","1,1296","1,1288","1,1381","1,1273","","0,04%"
"01.05.2025","1,1292","1,1329","1,1342","1,1266","","-0,33%"
"30.04.2025","1,1329","1,1386","1,1400","1,1317","","-0,50%"
"29.04.2025","1,1386","1,1422","1,1423","1,1370","","-0,32%"
"28.04.2025","1,1422","1,1375","1,1425","1,1329","","0,50%"
"25.04.2025","1,1365","1,1389","1,1395","1,1315","","-0,21%"
"24.04.2025","1,1389","1,1315","1,1399","1,1313","","0,65%"
"23.04.2025","1,1315","1,1422","1,1441","1,1308","","-0,92%"
"22.04.2025","1,1420","1,1515","1,1548","1,1417","","-0,81%"
"21.04.2025","1,1513","1,1385","1,1574","1,1388","","1,07%"
"18.04.2025","1,1391","1,1367","1,1399","1,1358","","0,25%"
"17.04.2025","1,1363","1,1395","1,1410","1,1336","","-0,31%"
"16.04.2025","1,1398","1,1283","1,1413","1,1281","","1,04%"
"15.04.2025","1,1281","1,1349","1,1379","1,1264","","-0,60%"
"14.04.2025","1,1349","1,1313","1,1425","1,1282","","-0,10%"
"11.04.2025","1,1360","1,1202","1,1475","1,1189","","1,46%"
"10.04.2025","1,1197","1,0951","1,1242","1,0943","","2,25%"
"09.04.2025","1,0951","1,0959","1,1096","1,0913","","-0,05%"
"08.04.2025","1,0956","1,0905","1,0993","1,0888","","0,48%"
"07.04.2025","1,0904","1,0946","1,1051","1,0883","","-0,47%"
"04.04.2025","1,0955","1,1052","1,1109","1,0924","","-0,86%"
"03.04.2025","1,1050","1,0856","1,1146","1,0805","","1,80%"
"02.04.2025","1,0855","1,0793","1,0925","1,0780","","0,57%"
"01.04.2025","1,0793","1,0818","1,0831","1,0778","","-0,22%"
"31.03.2025","1,0817","1,0822","1,0850","1,0784","","-0,09%"
"28.03.2025","1,0827","1,0802","1,0845","1,0764","","0,24%"
"27.03.2025","1,0801","1,0753","1,0822","1,0732","","0,46%"
"26.03.2025","1,0752","1,0791","1,0803","1,0744","","-0,36%"
"25.03.2025","1,0791","1,0802","1,0831","1,0776","","-0,08%"
"24.03.2025","1,0800","1,0808","1,0859","1,0781","","-0,13%"
"21.03.2025","1,0814","1,0852","1,0862","1,0797","","-0,34%"
"20.03.2025","1,0851","1,0903","1,0918","1,0815","","-0,46%"
"19.03.2025","1,0901","1,0945","1,0947","1,0861","","-0,38%"
"18.03.2025","1,0943","1,0923","1,0956","1,0892","","0,20%"
"17.03.2025","1,0921","1,0877","1,0930","1,0868","","0,39%"
"14.03.2025","1,0879","1,0852","1,0913","1,0830","","0,25%"
"13.03.2025","1,0852","1,0888","1,0898","1,0822","","-0,31%"
"12.03.2025","1,0886","1,0920","1,0932","1,0875","","-0,29%"
"11.03.2025","1,0918","1,0834","1,0947","1,0829","","0,79%"
"10.03.2025","1,0832","1,0835","1,0875","1,0805","","0,00%"
"07.03.2025","1,0832","1,0784","1,0890","1,0781","","0,45%"
"06.03.2025","1,0783","1,0791","1,0854","1,0765","","-0,06%"
"05.03.2025","1,0790","1,0627","1,0797","1,0602","","1,56%"
"04.03.2025","1,0624","1,0488","1,0628","1,0471","","1,32%"
"03.03.2025","1,0486","1,0382","1,0504","1,0381","","1,07%"
"28.02.2025","1,0375","1,0399","1,0421","1,0360","","-0,21%"
"27.02.2025","1,0397","1,0484","1,0494","1,0397","","-0,82%"
"26.02.2025","1,0483","1,0514","1,0529","1,0475","","-0,29%"
"25.02.2025","1,0513","1,0468","1,0520","1,0456","","0,45%"
"24.02.2025","1,0466","1,0493","1,0529","1,0453","","0,08%"
"21.02.2025","1,0458","1,0501","1,0507","1,0448","","-0,40%"
"20.02.2025","1,0500","1,0422","1,0504","1,0418","","0,76%"
"19.02.2025","1,0421","1,0443","1,0462","1,0401","","-0,23%"
"18.02.2025","1,0445","1,0484","1,0488","1,0435","","-0,35%"
"17.02.2025","1,0482","1,0489","1,0507","1,0467","","-0,09%"
"14.02.2025","1,0491","1,0465","1,0515","1,0446","","0,26%"
"13.02.2025","1,0464","1,0387","1,0467","1,0373","","0,79%"
"12.02.2025","1,0382","1,0361","1,0430","1,0317","","0,21%"
"11.02.2025","1,0360","1,0307","1,0381","1,0292","","0,52%"
"10.02.2025","1,0306","1,0324","1,0337","1,0280","","-0,20%"
"07.02.2025","1,0327","1,0383","1,0412","1,0305","","-0,52%"
"06.02.2025","1,0381","1,0402","1,0406","1,0352","","-0,20%"
"05.02.2025","1,0402","1,0377","1,0444","1,0370","","0,24%"
"04.02.2025","1,0377","1,0345","1,0388","1,0272","","0,32%"
"03.02.2025","1,0344","1,0288","1,0350","1,0146","","-0,17%"
"31.01.2025","1,0362","1,0391","1,0435","1,0350","","-0,27%"
"30.01.2025","1,0390","1,0421","1,0468","1,0386","","-0,29%"
"29.01.2025","1,0420","1,0431","1,0444","1,0382","","-0,08%"
"28.01.2025","1,0428","1,0492","1,0495","1,0414","","-0,60%"
"27.01.2025","1,0491","1,0486","1,0534","1,0454","","-0,02%"
"24.01.2025","1,0493","1,0417","1,0523","1,0412","","0,75%"
"23.01.2025","1,0415","1,0408","1,0439","1,0372","","0,08%"
"22.01.2025","1,0407","1,0429","1,0458","1,0393","","-0,21%"
"21.01.2025","1,0429","1,0417","1,0436","1,0342","","0,14%"
"20.01.2025","1,0414","1,0276","1,0435","1,0266","","1,39%"
"17.01.2025","1,0271","1,0299","1,0331","1,0265","","-0,26%"
"16.01.2025","1,0298","1,0288","1,0315","1,0261","","0,09%"
"15.01.2025","1,0289","1,0308","1,0355","1,0259","","-0,17%"
"14.01.2025","1,0307","1,0245","1,0309","1,0238","","0,61%"
"13.01.2025","1,0244","1,0241","1,0250","1,0178","","0,00%"
"10.01.2025","1,0244","1,0301","1,0313","1,0216","","-0,52%"
"09.01.2025","1,0298","1,0319","1,0322","1,0284","","-0,19%"
"08.01.2025","1,0318","1,0340","1,0358","1,0274","","-0,20%"
"07.01.2025","1,0339","1,0391","1,0436","1,0340","","-0,49%"
"06.01.2025","1,0390","1,0303","1,0438","1,0295","","0,80%"
"03.01.2025","1,0308","1,0265","1,0310","1,0258","","0,42%"
"02.01.2025","1,0265","1,0354","1,0376","1,0225","","-0,87%"
"01.01.2025","1,0355","1,0354","1,0360","1,0350","","0,02%"